Participants,Type of Meal,Date of Meal,Meal Price,Year,Day of The Month,Day of The Week
['Joshua Bynum'],Lunch,2017-06-22 14:00:00+02:00,103,2017,24,Saturday
['Joshua Bynum'],Lunch,2014-06-29 13:00:00+02:00,584,2014,29,Sunday
['Joshua Bynum'],Breakfast,2016-09-16 08:00:00+02:00,737,2016,14,Wednesday
['Joshua Bynum'],Dinner,2015-01-11 20:00:00+01:00,730,2015,7,Wednesday
['Joshua Bynum'],Lunch,2017-04-01 13:00:00+02:00,511,2017,4,Tuesday
['Joshua Bynum'],Breakfast,2018-03-20 07:00:00+01:00,316,2018,23,Friday
['Joshua Bynum'],Lunch,2015-03-23 13:00:00+01:00,425,2015,28,Saturday
['Carl Jones' 'Leda Haygood' 'Candice James' 'John Doughty'],Breakfast,2014-12-29 08:00:00+01:00,583,2015,2,Friday
['Thomas Huerta' 'Dorothy Lafoe' 'John Doughty'],Lunch,2017-07-18 12:00:00+02:00,550,2017,14,Friday
['John Doughty'],Dinner,2015-03-07 20:00:00+01:00,725,2015,9,Monday
['John Doughty'],Breakfast,2016-02-29 07:00:00+01:00,121,2016,3,Thursday
['Thomas Huerta' 'John Doughty' 'Dorothy Lafoe'],Dinner,2014-08-02 20:00:00+02:00,98,2014,7,Thursday
['Carl Jones'],Dinner,2015-10-19 21:00:00+02:00,113,2015,21,Wednesday
['Candice James'],Dinner,2015-05-26 20:00:00+02:00,116,2015,27,Wednesday
['Carl Jones' 'Thomas Huerta'],Dinner,2016-07-29 21:00:00+02:00,101,2016,27,Wednesday
['John Doughty' 'Thomas Huerta' 'Leda Haygood' 'Candice James'],Lunch,2015-02-20 12:00:00+01:00,109,2015,21,Saturday
['Leda Haygood'],Dinner,2015-03-16 22:00:00+01:00,285,2015,20,Friday
['Dorothy Lafoe' 'Candice James' 'Carl Jones' 'John Doughty'],Dinner,2017-05-15 22:00:00+02:00,344,2017,15,Monday
['Tawanda Mcgown'],Breakfast,2017-11-29 07:00:00+01:00,651,2017,27,Monday
['Tawanda Mcgown'],Lunch,2017-07-27 12:00:00+02:00,162,2017,25,Tuesday
['Jennifer Smith'],Lunch,2014-05-26 12:00:00+02:00,12,2014,30,Friday
['Tawanda Mcgown'],Dinner,2016-10-27 20:00:00+02:00,590,2016,26,Wednesday
['Jennifer Smith'],Dinner,2015-09-02 22:00:00+02:00,117,2015,31,Monday
['Tawanda Mcgown'],Dinner,2016-10-09 21:00:00+02:00,124,2016,11,Tuesday
['Jennifer Smith'],Breakfast,2016-08-07 09:00:00+02:00,759,2016,4,Thursday
['Jennifer Smith'],Dinner,2014-01-21 20:00:00+01:00,751,2014,19,Sunday
['Jennifer Smith'],Lunch,2016-03-09 13:00:00+01:00,789,2016,9,Wednesday
['Jennifer Smith'],Breakfast,2014-10-29 09:00:00+01:00,196,2014,28,Tuesday
['Jennifer Smith'],Lunch,2017-01-31 12:00:00+01:00,15,2017,4,Saturday
['Leah Erickson' 'Dennis Adams' 'Michael Rich'],Breakfast,2018-04-29 07:00:00+02:00,703,2018,2,Wednesday
['David Tisby'],Lunch,2016-11-27 12:00:00+01:00,471,2016,28,Monday
['David Tisby'],Breakfast,2015-03-01 07:00:00+01:00,297,2015,25,Wednesday
['Camille Wall' 'David Tisby' 'Leah Erickson' 'Pauline Murelli'],Dinner,2014-08-03 22:00:00+02:00,698,2014,1,Friday
['Camille Wall' 'Leah Erickson' 'Michael Rich' 'David Tisby'],Breakfast,2014-08-14 09:00:00+02:00,570,2014,12,Tuesday
['Pauline Murelli' 'Dennis Adams'],Breakfast,2014-08-06 07:00:00+02:00,689,2014,6,Wednesday
['David Tisby'],Lunch,2014-03-26 13:00:00+01:00,166,2014,26,Wednesday
['Leah Erickson' 'Camille Wall' 'Dennis Adams' 'Pauline Murelli'],Dinner,2018-06-24 22:00:00+02:00,201,2018,22,Friday
['Camille Wall' 'Pauline Murelli'],Dinner,2017-05-18 20:00:00+02:00,407,2017,19,Friday
['Dennis Adams' 'David Tisby'],Lunch,2014-09-09 14:00:00+02:00,299,2014,12,Friday
"['Leah Erickson' 'Dennis Adams' 'David Tisby' 'Camille Wall'
 'Pauline Murelli']",Dinner,2015-07-23 22:00:00+02:00,626,2015,27,Monday
"['Leah Erickson' 'David Tisby' 'Michael Rich' 'Dennis Adams'
 'Camille Wall']",Lunch,2018-05-01 14:00:00+02:00,42,2018,30,Monday
['Ellen Madison'],Dinner,2014-02-20 20:00:00+01:00,529,2014,20,Thursday
['Ellen Madison'],Breakfast,2018-06-24 08:00:00+02:00,14,2018,26,Tuesday
['Ellen Madison'],Breakfast,2016-12-09 08:00:00+01:00,657,2016,6,Tuesday
['Dennis Bennett'],Dinner,2018-07-02 21:00:00+02:00,31,2018,5,Thursday
['Ellen Madison'],Lunch,2016-03-11 12:00:00+01:00,267,2016,9,Wednesday
['Ellen Madison'],Lunch,2018-01-25 14:00:00+01:00,32,2018,25,Thursday
['Ellen Madison'],Lunch,2014-08-16 13:00:00+02:00,409,2014,19,Tuesday
['Ellen Madison'],Lunch,2015-02-27 14:00:00+01:00,328,2015,23,Monday
['Ellen Madison'],Breakfast,2016-01-06 08:00:00+01:00,765,2016,10,Sunday
['Ellen Madison'],Breakfast,2018-06-14 07:00:00+02:00,533,2018,19,Tuesday
['Ellen Madison'],Lunch,2014-12-20 13:00:00+01:00,292,2014,19,Friday
['Everett Alex'],Breakfast,2014-08-30 07:00:00+02:00,275,2014,28,Thursday
['Lillian Williams' 'Kenneth Hansen' 'Everett Alex' 'Darryl Horton'],Lunch,2015-02-19 14:00:00+01:00,733,2015,17,Tuesday
['Darryl Horton' 'Kenneth Hansen' 'Lillian Williams'],Breakfast,2015-01-19 07:00:00+01:00,285,2015,17,Saturday
['Lydia Mcginnis' 'Darryl Horton'],Dinner,2018-04-24 22:00:00+02:00,494,2018,26,Thursday
['Lillian Williams'],Dinner,2015-12-04 20:00:00+01:00,383,2015,30,Monday
['Darryl Horton'],Dinner,2017-06-04 20:00:00+02:00,395,2017,8,Thursday
['Darryl Horton' 'Lydia Mcginnis'],Lunch,2017-09-08 12:00:00+02:00,374,2017,9,Saturday
['Everett Alex' 'Kenneth Hansen' 'Darryl Horton'],Lunch,2017-09-05 13:00:00+02:00,262,2017,8,Friday
['Darryl Horton' 'Everett Alex' 'Lillian Williams'],Breakfast,2017-12-05 07:00:00+01:00,752,2017,9,Saturday
['Darryl Horton' 'Lillian Williams'],Breakfast,2017-12-09 07:00:00+01:00,60,2017,5,Tuesday
['Darryl Horton' 'Kenneth Hansen'],Dinner,2018-02-12 21:00:00+01:00,312,2018,12,Monday
['Kenneth Hansen'],Breakfast,2018-04-11 07:00:00+02:00,439,2018,16,Monday
['Alvin Robinette'],Dinner,2018-06-01 22:00:00+02:00,232,2018,3,Sunday
['Richard Polite'],Breakfast,2015-01-28 08:00:00+01:00,541,2015,25,Sunday
['Susan Sifuentes'],Breakfast,2014-11-25 07:00:00+01:00,138,2014,23,Sunday
['Susan Sifuentes' 'Richard Polite'],Dinner,2014-07-28 20:00:00+02:00,432,2014,31,Thursday
['Alvin Robinette'],Lunch,2014-11-25 13:00:00+01:00,374,2014,30,Sunday
['Susan Sifuentes'],Dinner,2018-01-13 21:00:00+01:00,160,2018,12,Friday
['Alvin Robinette'],Breakfast,2017-11-06 07:00:00+01:00,21,2017,4,Saturday
['Richard Polite'],Breakfast,2015-09-12 08:00:00+02:00,825,2015,12,Saturday
['Richard Polite'],Lunch,2017-09-17 12:00:00+02:00,104,2017,17,Sunday
['Alvin Robinette'],Dinner,2018-12-20 21:00:00+01:00,806,2018,20,Thursday
['Robert Kratzer'],Dinner,2018-09-06 21:00:00+02:00,397,2018,7,Friday
['Robert Kratzer'],Breakfast,2014-02-15 09:00:00+01:00,553,2014,12,Wednesday
['Gregory Gibbs' 'Thomas Carmichael'],Breakfast,2017-11-14 07:00:00+01:00,415,2017,15,Wednesday
['Thomas Carmichael' 'Gregory Gibbs'],Breakfast,2018-02-26 09:00:00+01:00,368,2018,1,Thursday
['Thomas Carmichael'],Breakfast,2015-11-30 07:00:00+01:00,432,2015,29,Sunday
['Robert Kratzer' 'Thomas Carmichael'],Lunch,2016-03-10 12:00:00+01:00,488,2016,14,Monday
['Thomas Carmichael'],Dinner,2017-12-25 20:00:00+01:00,317,2017,25,Monday
['Gregory Gibbs'],Breakfast,2017-02-11 07:00:00+01:00,237,2017,11,Saturday
['Lou Enama'],Dinner,2014-10-27 22:00:00+01:00,610,2014,29,Wednesday
['Gabriel Walker'],Dinner,2015-06-26 21:00:00+02:00,792,2015,23,Tuesday
['Roger Born'],Dinner,2018-09-18 20:00:00+02:00,292,2018,22,Saturday
['Gabriel Walker' 'Lou Enama'],Breakfast,2017-05-20 08:00:00+02:00,139,2017,20,Saturday
['Roger Born'],Dinner,2017-09-17 20:00:00+02:00,95,2017,13,Wednesday
['Gabriel Walker' 'Roger Born'],Breakfast,2014-04-29 08:00:00+02:00,439,2014,3,Saturday
['Lou Enama'],Dinner,2015-05-16 20:00:00+02:00,815,2015,21,Thursday
['Gabriel Walker' 'Lou Enama'],Dinner,2018-01-08 22:00:00+01:00,152,2018,4,Thursday
['Gabriel Walker' 'Lou Enama'],Dinner,2014-02-23 20:00:00+01:00,719,2014,20,Thursday
['Curt Borovec'],Lunch,2017-10-28 13:00:00+02:00,733,2017,24,Tuesday
['Christine Rifenbark'],Lunch,2016-09-13 13:00:00+02:00,142,2016,13,Tuesday
['Christine Rifenbark'],Dinner,2014-03-22 20:00:00+01:00,692,2014,24,Monday
['Gerardo Davis' 'Christine Rifenbark' 'Kelly Munoz' 'Delbert Jackson'],Dinner,2015-05-22 22:00:00+02:00,517,2015,23,Saturday
['Christine Rifenbark'],Breakfast,2018-04-12 09:00:00+02:00,442,2018,10,Tuesday
['Curt Borovec'],Lunch,2018-09-24 14:00:00+02:00,316,2018,21,Friday
['Kelly Munoz'],Breakfast,2018-11-05 09:00:00+01:00,404,2018,7,Wednesday
['Mark Waits'],Dinner,2015-10-04 21:00:00+02:00,694,2015,4,Sunday
['Jacqueline Hood'],Lunch,2014-03-25 13:00:00+01:00,152,2014,22,Saturday
['Maria Brooks' 'Ralph Then'],Breakfast,2015-02-08 07:00:00+01:00,601,2015,4,Wednesday
['Maria Brooks' 'Jacqueline Hood' 'Lashell More' 'Ralph Then' 'Mark Waits'],Breakfast,2017-02-17 08:00:00+01:00,842,2017,18,Saturday
['Theresa Upchurch'],Dinner,2017-06-27 21:00:00+02:00,67,2017,26,Monday
['Lashell More' 'Ralph Then'],Lunch,2017-11-16 13:00:00+01:00,184,2017,19,Sunday
"['Jacqueline Hood' 'Maria Brooks' 'Mark Waits' 'Theresa Upchurch'
 'Lashell More']",Dinner,2015-08-23 20:00:00+02:00,591,2015,25,Tuesday
['Mark Waits'],Lunch,2014-09-05 13:00:00+02:00,83,2014,9,Tuesday
['Jacqueline Hood'],Breakfast,2016-09-24 09:00:00+02:00,151,2016,20,Tuesday
['Graciela Milton'],Lunch,2016-01-06 12:00:00+01:00,369,2016,10,Sunday
['Graciela Milton'],Breakfast,2015-07-07 08:00:00+02:00,561,2015,3,Friday
['Graciela Milton'],Dinner,2015-06-10 20:00:00+02:00,701,2015,12,Friday
['Graciela Milton'],Dinner,2015-07-08 21:00:00+02:00,649,2015,11,Saturday
['Graciela Milton'],Dinner,2015-07-10 20:00:00+02:00,644,2015,7,Tuesday
['Graciela Milton'],Breakfast,2018-07-12 09:00:00+02:00,597,2018,16,Monday
['Graciela Milton'],Dinner,2017-10-27 20:00:00+02:00,707,2017,30,Monday
['Graciela Milton'],Breakfast,2014-05-07 07:00:00+02:00,657,2014,6,Tuesday
['Graciela Milton'],Dinner,2017-02-11 22:00:00+01:00,213,2017,9,Thursday
['Graciela Milton'],Breakfast,2014-08-24 07:00:00+02:00,289,2014,25,Monday
['Graciela Milton'],Lunch,2016-05-16 13:00:00+02:00,484,2016,14,Saturday
['Graciela Milton'],Dinner,2015-12-19 21:00:00+01:00,639,2015,16,Wednesday
['Graciela Milton'],Breakfast,2014-12-30 07:00:00+01:00,787,2015,2,Friday
['Graciela Milton'],Dinner,2018-08-07 22:00:00+02:00,240,2018,12,Sunday
['Sally Damour'],Breakfast,2015-03-01 09:00:00+01:00,524,2015,4,Wednesday
['Sally Damour' 'Kathy Gramby'],Dinner,2018-02-19 20:00:00+01:00,465,2018,21,Wednesday
['Kathy Gramby'],Breakfast,2018-02-01 07:00:00+01:00,32,2018,5,Monday
['Sally Damour'],Dinner,2016-10-20 20:00:00+02:00,875,2016,16,Sunday
['Gregory Resnick'],Dinner,2018-07-11 20:00:00+02:00,626,2018,14,Saturday
['Sally Damour'],Breakfast,2018-09-11 08:00:00+02:00,477,2018,11,Tuesday
['Kathy Gramby'],Breakfast,2016-12-06 07:00:00+01:00,184,2016,3,Saturday
['Kathy Gramby'],Lunch,2018-08-19 12:00:00+02:00,381,2018,20,Monday
['Sally Damour'],Lunch,2017-07-31 14:00:00+02:00,140,2017,28,Friday
['Gregory Resnick' 'Kathy Gramby'],Lunch,2018-06-19 13:00:00+02:00,43,2018,22,Friday
['Kathy Gramby'],Breakfast,2014-03-07 08:00:00+01:00,890,2014,9,Sunday
['Sally Damour'],Lunch,2015-10-18 14:00:00+02:00,142,2015,17,Saturday
['Sally Damour'],Lunch,2014-07-10 14:00:00+02:00,369,2014,13,Sunday
['Gregory Resnick'],Breakfast,2018-11-16 08:00:00+01:00,587,2018,20,Tuesday
['Tiffany Benitez' 'Shannon Ibara'],Breakfast,2014-02-25 07:00:00+01:00,735,2014,1,Saturday
['Tiffany Benitez'],Lunch,2018-01-13 12:00:00+01:00,10,2018,13,Saturday
['Tiffany Benitez' 'Shannon Ibara' 'Mark Cave'],Lunch,2014-09-06 12:00:00+02:00,34,2014,7,Sunday
['Mary Dickens'],Lunch,2018-04-07 13:00:00+02:00,701,2018,7,Saturday
['Mary Dickens'],Lunch,2014-12-03 12:00:00+01:00,256,2014,1,Monday
['Tiffany Benitez'],Dinner,2015-08-31 22:00:00+02:00,456,2015,31,Monday
['Kimberly Kelley'],Breakfast,2015-11-28 09:00:00+01:00,662,2015,3,Thursday
['Stephen Lewis' 'Kimberly Kelley'],Breakfast,2015-04-12 09:00:00+02:00,89,2015,11,Saturday
['Kimberly Kelley'],Breakfast,2014-06-24 09:00:00+02:00,552,2014,27,Friday
['James Clark' 'Megan Hermann' 'Stephen Lewis'],Dinner,2015-03-29 21:00:00+02:00,957,2015,25,Wednesday
['Stephen Lewis' 'Megan Hermann' 'Vernon Jin' 'Kimberly Kelley'],Dinner,2018-02-16 21:00:00+01:00,473,2018,15,Thursday
['Stephen Lewis'],Breakfast,2018-06-30 07:00:00+02:00,568,2018,30,Saturday
['Vernon Jin' 'James Clark' 'Stephen Lewis' 'Kimberly Kelley'],Dinner,2017-12-19 20:00:00+01:00,74,2017,23,Saturday
['Vernon Jin' 'Kimberly Kelley' 'Stephen Lewis' 'James Clark'],Breakfast,2014-04-21 07:00:00+02:00,492,2014,26,Saturday
['Vernon Jin' 'Megan Hermann'],Breakfast,2018-02-07 08:00:00+01:00,68,2018,7,Wednesday
['Vernon Jin'],Breakfast,2014-10-30 08:00:00+01:00,331,2014,26,Sunday
['Stephen Lewis' 'James Clark'],Dinner,2014-05-19 20:00:00+02:00,586,2014,20,Tuesday
['James Clark' 'Stephen Lewis'],Breakfast,2016-08-07 09:00:00+02:00,649,2016,5,Friday
['James Clark'],Breakfast,2018-03-05 07:00:00+01:00,803,2018,6,Tuesday
['Rhonda Underwood'],Breakfast,2018-10-14 08:00:00+02:00,280,2018,12,Friday
['Rhonda Underwood'],Lunch,2016-01-26 13:00:00+01:00,605,2016,26,Tuesday
['Keith Gill'],Dinner,2017-03-23 21:00:00+01:00,859,2017,23,Thursday
['Keith Gill'],Lunch,2017-06-23 13:00:00+02:00,120,2017,21,Wednesday
['Rhonda Underwood'],Lunch,2015-05-07 14:00:00+02:00,527,2015,6,Wednesday
['Keith Gill'],Lunch,2015-09-27 12:00:00+02:00,647,2015,24,Thursday
['Rhonda Underwood'],Lunch,2015-08-31 12:00:00+02:00,474,2015,5,Saturday
['Keith Gill'],Lunch,2014-12-18 13:00:00+01:00,359,2014,17,Wednesday
['Keith Gill'],Breakfast,2017-01-14 08:00:00+01:00,585,2017,17,Tuesday
['Keith Gill'],Dinner,2015-11-08 20:00:00+01:00,382,2015,4,Wednesday
['Mark Kovac' 'Gregory Swain' 'Mathew Sanford'],Lunch,2018-03-04 12:00:00+01:00,657,2018,4,Sunday
['Mark Kovac'],Lunch,2018-12-14 12:00:00+01:00,806,2018,10,Monday
['Mathew Sanford' 'Mark Kovac' 'Gregory Swain'],Lunch,2016-06-25 13:00:00+02:00,337,2016,21,Tuesday
['Mark Kovac' 'James Galindo' 'Mathew Sanford' 'Helen Thomas'],Dinner,2016-07-21 20:00:00+02:00,202,2016,20,Wednesday
['Mark Kovac'],Dinner,2016-03-01 22:00:00+01:00,590,2016,1,Tuesday
['Gregory Swain' 'Mathew Sanford'],Breakfast,2015-12-22 07:00:00+01:00,444,2015,18,Friday
['Helen Thomas' 'James Galindo'],Breakfast,2017-07-13 09:00:00+02:00,755,2017,14,Friday
['James Galindo' 'Mark Kovac'],Dinner,2016-04-02 22:00:00+02:00,265,2016,1,Friday
['Helen Thomas' 'Gregory Swain' 'Mark Kovac'],Breakfast,2017-06-10 08:00:00+02:00,386,2017,15,Thursday
['Mathew Sanford' 'Gregory Swain' 'Helen Thomas'],Dinner,2017-01-23 22:00:00+01:00,519,2017,25,Wednesday
['James Galindo' 'Mark Kovac' 'Mathew Sanford' 'Gregory Swain'],Breakfast,2014-06-21 09:00:00+02:00,223,2014,26,Thursday
['Gregory Swain' 'Mark Kovac' 'Helen Thomas' 'James Galindo'],Breakfast,2014-02-12 08:00:00+01:00,441,2014,17,Monday
['Mark Kovac' 'Helen Thomas'],Dinner,2014-11-18 20:00:00+01:00,434,2014,20,Thursday
['James Galindo' 'Mark Kovac' 'Gregory Swain'],Lunch,2018-06-22 14:00:00+02:00,791,2018,20,Wednesday
['Juan Bolf'],Lunch,2016-11-02 14:00:00+01:00,376,2016,31,Monday
['Juan Bolf' 'Ronald Robinson'],Lunch,2015-08-26 12:00:00+02:00,319,2015,31,Monday
['William Youngblood' 'Ronald Robinson'],Breakfast,2017-07-22 07:00:00+02:00,500,2017,25,Tuesday
['William Youngblood'],Dinner,2018-01-27 20:00:00+01:00,8,2018,25,Thursday
['William Youngblood'],Breakfast,2018-01-09 07:00:00+01:00,190,2018,8,Monday
['Ronald Robinson'],Dinner,2016-12-28 22:00:00+01:00,443,2016,27,Tuesday
['Juan Bolf'],Breakfast,2018-03-09 09:00:00+01:00,138,2018,14,Wednesday
['Ronald Robinson'],Breakfast,2015-11-30 07:00:00+01:00,237,2015,28,Saturday
['Ronald Robinson'],Lunch,2014-01-14 14:00:00+01:00,89,2014,16,Thursday
['Juan Bolf' 'William Youngblood'],Lunch,2018-10-12 12:00:00+02:00,678,2018,12,Friday
['Juan Bolf'],Breakfast,2016-10-23 07:00:00+02:00,345,2016,23,Sunday
['William Youngblood'],Breakfast,2016-10-07 09:00:00+02:00,262,2016,6,Thursday
['Sharon Spieth' 'Geneva Kridel' 'Bobby Rodriguez' 'Howard Connell'],Breakfast,2016-04-08 09:00:00+02:00,272,2016,5,Tuesday
['John Burdick'],Breakfast,2016-06-13 08:00:00+02:00,720,2016,15,Wednesday
['Sharon Spieth'],Breakfast,2017-09-18 08:00:00+02:00,500,2017,17,Sunday
['Sharon Spieth'],Lunch,2017-08-29 14:00:00+02:00,754,2017,30,Wednesday
['Geneva Kridel'],Breakfast,2016-01-03 07:00:00+01:00,688,2015,30,Wednesday
['Geneva Kridel'],Lunch,2017-11-23 12:00:00+01:00,511,2017,25,Saturday
['Bobby Rodriguez' 'Sharon Spieth'],Dinner,2017-03-10 22:00:00+01:00,580,2017,10,Friday
['Ruth Shepperd'],Breakfast,2016-11-04 09:00:00+01:00,770,2016,9,Wednesday
['Ruth Shepperd'],Breakfast,2018-12-24 08:00:00+01:00,244,2018,21,Friday
['Ruth Shepperd'],Breakfast,2017-04-05 09:00:00+02:00,466,2017,8,Saturday
['Robert Parker'],Breakfast,2016-04-04 09:00:00+02:00,318,2016,4,Monday
['Robert Parker'],Breakfast,2018-08-28 08:00:00+02:00,774,2018,30,Thursday
['Marie Sandifer'],Breakfast,2018-02-20 07:00:00+01:00,65,2018,17,Saturday
['Marie Sandifer'],Lunch,2014-01-05 12:00:00+01:00,314,2014,3,Friday
['Marie Sandifer'],Dinner,2014-11-15 20:00:00+01:00,319,2014,14,Friday
['Marie Sandifer'],Lunch,2015-11-25 13:00:00+01:00,95,2015,24,Tuesday
['Marie Sandifer'],Lunch,2018-09-23 13:00:00+02:00,514,2018,22,Saturday
['Marie Sandifer'],Dinner,2015-08-15 20:00:00+02:00,54,2015,20,Thursday
['Marie Sandifer'],Dinner,2017-09-04 22:00:00+02:00,102,2017,31,Thursday
['Marie Sandifer'],Dinner,2014-08-21 21:00:00+02:00,256,2014,26,Tuesday
['Marie Sandifer'],Breakfast,2015-07-07 07:00:00+02:00,443,2015,5,Sunday
['Marie Sandifer'],Breakfast,2017-06-04 09:00:00+02:00,309,2017,1,Thursday
['Marie Sandifer'],Dinner,2014-04-23 22:00:00+02:00,160,2014,23,Wednesday
['Roderick Jefferson'],Breakfast,2014-10-25 08:00:00+02:00,404,2014,23,Thursday
['Roderick Jefferson'],Lunch,2016-03-22 14:00:00+01:00,97,2016,27,Sunday
['Martin Blake' 'Joseph Andreas' 'Roderick Jefferson'],Lunch,2017-11-23 12:00:00+01:00,549,2017,23,Thursday
['Roderick Jefferson' 'Martin Blake' 'Joseph Andreas'],Breakfast,2018-01-02 08:00:00+01:00,47,2017,30,Saturday
['Martin Blake'],Dinner,2018-10-18 21:00:00+02:00,128,2018,21,Sunday
['Joseph Andreas'],Lunch,2015-05-07 13:00:00+02:00,195,2015,3,Sunday
['Alysia Deardorff' 'Martin Blake' 'Roderick Jefferson'],Dinner,2014-05-18 20:00:00+02:00,350,2014,15,Thursday
['Roderick Jefferson' 'Joseph Andreas'],Lunch,2017-07-02 13:00:00+02:00,641,2017,5,Wednesday
['Martin Blake'],Breakfast,2017-11-28 09:00:00+01:00,144,2017,24,Friday
['Joseph Andreas'],Lunch,2017-07-25 13:00:00+02:00,764,2017,28,Friday
['Alysia Deardorff'],Dinner,2016-11-25 20:00:00+01:00,326,2016,30,Wednesday
['Martin Blake' 'Roderick Jefferson'],Lunch,2015-09-09 12:00:00+02:00,262,2015,11,Friday
['Joseph Andreas'],Lunch,2016-02-25 13:00:00+01:00,371,2016,25,Thursday
['Roderick Jefferson'],Breakfast,2018-04-08 07:00:00+02:00,323,2018,11,Wednesday
['Martin Blake' 'Roderick Jefferson'],Dinner,2018-05-23 20:00:00+02:00,857,2018,23,Wednesday
['Roderick Jefferson'],Lunch,2015-01-10 12:00:00+01:00,355,2015,11,Sunday
['Alysia Deardorff' 'Roderick Jefferson' 'Martin Blake'],Lunch,2016-05-08 13:00:00+02:00,328,2016,6,Friday
['Alysia Deardorff'],Dinner,2017-10-19 21:00:00+02:00,16,2017,21,Saturday
['Melissa Edwards' 'David Shelton'],Breakfast,2018-08-28 08:00:00+02:00,599,2018,29,Wednesday
['Benjamin Robinson'],Breakfast,2016-03-23 07:00:00+01:00,399,2016,22,Tuesday
['David Shelton' 'Rebekah Koopmans' 'Melissa Edwards'],Breakfast,2016-06-18 08:00:00+02:00,320,2016,18,Saturday
['David Shelton'],Dinner,2017-02-17 20:00:00+01:00,359,2017,18,Saturday
['Melissa Edwards' 'Rebekah Koopmans' 'David Shelton'],Lunch,2018-02-20 13:00:00+01:00,425,2018,21,Wednesday
['Benjamin Robinson'],Dinner,2018-07-05 20:00:00+02:00,694,2018,9,Monday
['Melissa Edwards'],Breakfast,2015-10-11 07:00:00+02:00,754,2015,13,Tuesday
['Benjamin Robinson'],Dinner,2014-01-10 22:00:00+01:00,414,2014,7,Tuesday
['Benjamin Robinson' 'Rebekah Koopmans'],Dinner,2016-09-02 21:00:00+02:00,330,2016,29,Monday
['John Yeakel'],Lunch,2016-01-18 13:00:00+01:00,139,2016,23,Saturday
['Robert Geisler'],Breakfast,2018-09-05 09:00:00+02:00,581,2018,7,Friday
['Robert Geisler'],Breakfast,2014-02-26 09:00:00+01:00,44,2014,24,Monday
['Robert Geisler'],Dinner,2014-11-30 21:00:00+01:00,477,2014,4,Thursday
['Robert Geisler'],Breakfast,2015-09-07 09:00:00+02:00,698,2015,8,Tuesday
['John Yeakel'],Breakfast,2015-09-18 09:00:00+02:00,441,2015,21,Monday
['Robert Geisler'],Lunch,2018-11-09 13:00:00+01:00,89,2018,8,Thursday
['Robert Geisler'],Lunch,2016-05-10 13:00:00+02:00,305,2016,13,Friday
['Robert Geisler'],Dinner,2015-04-17 22:00:00+02:00,394,2015,13,Monday
['Robert Geisler'],Dinner,2015-09-02 22:00:00+02:00,228,2015,5,Saturday
['Robert Geisler'],Breakfast,2014-03-08 09:00:00+01:00,320,2014,10,Monday
['John Yeakel'],Dinner,2016-06-24 22:00:00+02:00,290,2016,28,Tuesday
['John Yeakel'],Dinner,2015-08-22 20:00:00+02:00,362,2015,19,Wednesday
['John Yeakel'],Lunch,2017-06-09 14:00:00+02:00,362,2017,11,Sunday
['Robert Geisler'],Breakfast,2016-09-27 09:00:00+02:00,291,2016,30,Friday
['John Yeakel'],Dinner,2018-04-20 20:00:00+02:00,228,2018,17,Tuesday
['Mary Hankins'],Dinner,2018-06-07 20:00:00+02:00,383,2018,5,Tuesday
['Johnnie Humbert'],Breakfast,2017-04-26 08:00:00+02:00,865,2017,28,Friday
['Mary Hankins' 'Kellie Campbell'],Lunch,2016-01-14 13:00:00+01:00,649,2016,10,Sunday
['Mary Hankins'],Breakfast,2015-10-15 08:00:00+02:00,779,2015,20,Tuesday
['Alice Lloyd' 'Richard Johnson'],Lunch,2014-02-23 12:00:00+01:00,130,2014,21,Friday
['Richard Johnson' 'Mary Hankins' 'Kellie Campbell' 'Alice Lloyd'],Breakfast,2016-08-01 09:00:00+02:00,624,2016,28,Thursday
['Mary Hankins' 'Alice Lloyd' 'Johnnie Humbert'],Lunch,2016-03-31 13:00:00+02:00,642,2016,5,Tuesday
['Kellie Campbell'],Breakfast,2017-01-08 07:00:00+01:00,756,2017,6,Friday
['Charlie Jedele'],Lunch,2018-11-25 14:00:00+01:00,117,2018,25,Sunday
['Charlie Jedele'],Breakfast,2017-11-11 07:00:00+01:00,240,2017,10,Friday
['Charlie Jedele'],Lunch,2018-05-13 14:00:00+02:00,268,2018,10,Thursday
['Charlie Jedele'],Dinner,2015-06-04 20:00:00+02:00,533,2015,8,Monday
['Charlie Jedele'],Lunch,2018-02-15 14:00:00+01:00,651,2018,12,Monday
['Charlie Jedele'],Lunch,2016-02-03 14:00:00+01:00,554,2016,4,Thursday
['Charlie Jedele'],Lunch,2014-12-22 13:00:00+01:00,484,2014,24,Wednesday
['Charlie Jedele'],Lunch,2014-09-04 13:00:00+02:00,279,2014,8,Monday
['Charlie Jedele'],Dinner,2018-04-25 20:00:00+02:00,631,2018,30,Monday
['Charlie Jedele'],Lunch,2015-01-18 13:00:00+01:00,417,2015,15,Thursday
['Charlie Jedele'],Lunch,2015-04-03 13:00:00+02:00,464,2015,30,Monday
['Charlie Jedele'],Dinner,2017-11-06 20:00:00+01:00,11,2017,2,Thursday
['Charlie Jedele'],Dinner,2018-09-04 21:00:00+02:00,364,2018,8,Saturday
['Troy Frandsen' 'Anthony Cook'],Lunch,2016-10-10 13:00:00+02:00,506,2016,8,Saturday
